安慰;ānwèi;comfort
书桌;shū zhuō;"desk; writing desk"
输出;shū chū;"output; export; efference"
蔬菜;shūcài;Vegetables
熟悉;shúxī;be familiar with
鼠;shǔ;"mouse; rat"
鼠标;shǔbiāo;mouse
数目;shù mù;"number; amount"
摔;shuāi;"fall; break; throw; fling; lose one’s balance"
摔倒;shuāidǎo;fall
率领;shuàilǐng;Lead
双手;shuāng shǒu;"both hands; pair of hands"
水产品;shuǐ chǎn pǐn;aquatic product
水分;shuǐ fèn;moisture
水库;shuǐ kù;reservoir
水灾;shuǐ zāi;"flood; inundation"
睡眠;shuì mián;"sleep; slumber"
说法;shuō fǎ;"way of saying a thing; statement; version; wording"
硕士;shuòshì;master
私人;sīrén;private
思维;sīwéi;thinking
四周;sì zhōu;all around
搜;sōu;"search; search out"
搜索;sōusuǒ;search
宿舍;sùshè;dormitory
酸甜苦辣;suān tián kǔ là;"sour, sweet, bitter, hot ; ups and downs; joys and sorrows of life"
随后;suí hòu;"follow; soon afterwards"
随意;suíyì;"random; casual"
随着;suízhe;along with
岁月;suìyuè;Years
碎;suì;broken
损害;sǔn hài;"harm; damage; injure; hurt"
损失;sǔnshī;loss
所在;suǒ zài;"place; location; where"
锁;suǒ;lock
台风;táifēng;Typhoon
抬;tái;Lift
抬头;tái tóu;"look up; gain ground; raise one’s head"
太空;tàikōng;Space
弹;tán;"shoot; catapult; fluff; flick; flip; play; leap"
逃;táo;flee
逃跑;táo pǎo;"run away; flee; take flight; take to one’s heels"
逃走;táo zǒu;"escape; flee"
桃;táo;peach
桃花;táo huā;peach blossom
桃树;táo shù;peach tree
讨厌;tǎoyàn;Hate
特定;tèdìng;given
特性;tè xìng;"characteristic; property; feature; peculiarity; quality"
特有;tè yǒu;"peculiar; characteristic"
提倡;tíchàng;promote
提起;tí qǐ;"mention; speak of; raise; lift"
提示;tíshì;hint
题材;tícái;theme
体积;tǐjī;volume
体力;tǐ lì;"physical strength; physical power"
天才;tiāncái;genius
天然气;tiānránqì;Natural gas
天文;tiānwén;Astronomy
调节;tiáojié;adjust
调解;tiáojiě;mediate
厅;tīng;"office; hall"
停留;tíng liú;"remain; stay"
通用;tōngyòng;currency
偷;tōu;steal
偷偷;tōu tōu;"secretly; stealthily; covertly; on the sly"
突破;tūpò;Breach
土豆;tǔdòu;Potato
吐;tǔ;spit, say
吐;tù;vomit
兔;tù;"rabbit; hare"
团长;tuán zhǎng;"regimental commander; head of a delegation"
推行;tuī xíng;"practise; carry out; pursue"
脱离;tuōlí;Be divorced from
外界;wàijiè;outside
完了;wán le;"come to an end; be over; completion of a term"
微博;wēi bó;Weibo (a Chinese social media app)
为难;wéinán;Embarrassed
为期;wéiqī;by a definite date
为止;wéi zhǐ;"up to; till"
为主;wéi zhǔ;"mainly; give priority"
违法;wéi fǎ;"break the law; be illegal"
违反;wéifǎn;Violation
违规;wéi guī;"violation; get out of line"
围绕;wéirào;around
唯一;wéiyī;Only
委托;wěituō;Entrust
卫星;wèixīng;satellite
胃;wèi;stomach
慰问;wèiwèn;Condolences
温和;wēnhé;mild
文艺;wényì;literature
卧室;wòshì;Bedroom
握;wò;"hold; grasp; take by the hand"
污染;wūrǎn;contaminated
污水;wū shuǐ;"sewage; slops; foul water; polluted water"
屋;wū;"house; room"
无奈;wúnài;cannot help but
无疑;wú yí;"undoubtedly; no doubt"
舞;wǔ;"dance; dancing; flourish; wield"
物价;wù jià;(commodity) prices
物业;wùyè;property
物质;wùzhì;material
误解;wùjiě;misunderstand
西红柿;xīhóngshì;Tomato
西装;xī zhuāng;"suit; Western-style clothes"
喜剧;xǐ jù;comedy
戏;xì;"play; sport; joke; make fun of; drama; play"
戏剧;xìjù;Theatre
吓;xià;scare
先后;xiān hòu;"successively; one after another"
先前;xiānqián;previously
鲜艳;xiānyàn;Colorful
闲;xián;"not busy; idle; unoccupied; leisure; stay idle"
显;xiǎn;"show; appear;  obvious; noticeable; illustrious"
现有;xiàn yǒu;"existing; now available; existence"
现状;xiànzhuàng;Present situation
线索;xiànsuǒ;Clue
献;xiàn;"offer; present; dedicate; donate;  show; put on; display"
乡;xiāng;"country; countryside; village; rural area; home village"
乡村;xiāng cūn;"country; village; countryside; rural area; rural"
相等;xiāngděng;Equal
相应;xiāngyìng;Corresponding
香肠;xiāngcháng;sausage
详细;xiángxì;detailed
