阿姨;āyí;aunt or maid
谁;shéi;who
身体;shēntǐ;body
什么;shénme ;what
生病;shēng bìng;to get sick
;;
生气;shēngqì;to get angry
;;
生日;shēngrì;birthday
声音;shēngyīn;sound or voice
十;shí;ten
时候;shíhou;a certain point in time
时间;shíjiān;a period of time
使;shǐ;to make
;;
世界;shìjiè;world
事情 ;shìqing;matter
是;shì;to be
;;
手表;shǒubiǎo;watch
手机;shǒujī;mobile phone
瘦;shòu;thin
;;
书;shū;book
叔叔;shūshu;uncle
舒服;shūfu;comfortable
;;
树;shù;tree
数学;shùxué;math
刷牙;shuāyá;to brush teeth
;;
双;shuāng;pair
;;
水;shuǐ;water
水果;shuǐguǒ;fruit
水平;shuǐpíng;level or standard
睡觉;shuìjiào;to sleep
;;
说话;shuōhuà ;to speak
;;
司机;sījī;driver
四;sì;four
送;sòng;to give as a gift or to deliver
;;
虽然;suīrán;although
;;
岁;suì ;year (of age)
;;
所以;suǒyǐ;so
;;
他;tā;he or him
它  ;tā;it
她;tā;she or her
太;tài;too…
;;
太阳;tàiyáng;sun
糖;táng;candy or sugar
特别;tèbié;special
;;
疼;téng;to ache
;;
踢足球;tī zúqiú;to play soccer
;;
提高;tígāo;to improve
;;
题;tí;question (exam, exercise)
体育;tǐyù;sports or physical education
天气;tiānqì;weather
甜;tián;sweet
;;
条;tiáo;for long objects
;;
跳舞;tiào wǔ;to dance
;;
听;tīng;to see
;;
同事;tóngshì;colleague
同学;tóngxué;schoolmate
同意;tóngyì;to agree
;;
头发;tóufa;hair
突然;tūrán;suddenly
;;
图书馆;túshūguǎn;library
;;
腿;tuǐ;leg
外;wài;outside
;;
完;wán;to finish
;;
完成;wánchéng;to complete or accomplish
;;
玩;wán;to play
;;
晚上;wǎnshàng;evening
碗;wǎn;bowl
万;wàn;ten thousand
忘记;wàngjì;to forget
;;
为;wèi;for (sb/sth)
;;
为了;wèile;for (purpose)
;;
为什么;wèi shénme;why
位;wèi;counter for people (formal)
;;
喂;wèi;hello? (on the phone)
;;
文化;wénhuà;culture
问;wèn;to ask
;;
问题;wèntí;question
我;wǒ;I or me
我们;wǒmen;we or me
五;wǔ;five
西;xī;west
;;
西瓜;xīguā;watermelon
希望  ;xīwàng;to hope
;;
习惯;xíguàn;habit
洗;xǐ;to wash
;;
洗手间;xǐshǒujiān;washroom
;;
洗澡;xǐzǎo;to bathe
;;
喜欢;xǐhuan;to like
;;
下;xià;under, below or next
;;
下午;xiàwǔ;afternoon
下雨;xià yǔ;to rain
;;
夏;xià;summer
先;xiān;first
;;
先生;xiānsheng;Mr or sir
现在  ;xiànzài;now
相同;xiāngtóng;same
;;
相信;xiāngxìn;to believe
;;
香蕉;xiāngjiāo;banana
想;xiǎng;to live or to stay
;;
