謹;つつし.む, キン;discreet, reverently, humbly
瞳;ひとみ, ドウ, トウ;pupil
湧;わ.く, ユウ, ヨウ, ユ;boil, ferment, seethe, uproar, breed
欣;よろこ.ぶ, よろこ.び, キン, ゴン, コン;take pleasure in, rejoice
窯;かま, ヨウ;kiln, oven, furnace
褒;ほ.める, ホウ;praise, extol
醜;みにく.い, しこ, シュウ;ugly, unclean, shame, bad looking
升;ます, ショウ;measuring box, 1.8 liter
殉;ジュン;martyrdom, follow by resigning
煩;わずら.う, わずら.わす, ハン, ボン;anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome
巴;ともえ, うずまき, ハ;comma-design
禎;さいわ.い, テイ;happiness, blessed, good fortune, auspicious
劾;ガイ;censure, criminal investigation
堕;お.ちる, くず.す, くず.れる, ダ;degenerate, descend to, lapse into
租;ソ;tariff, crop tax, borrowing
稜;いつ, かど, リョウ, ロウ;angle, edge, corner, power, majesty
桟;かけはし, サン, セン;scaffold, cleat, frame, jetty, bolt (door)
倭;したが.う, ワ, イ;Yamato, ancient Japan
婿;むこ, セイ;bridegroom, son-in-law
慕;した.う, ボ;pining, yearn for, love dearly, adore
斐;ヒ, イ;beautiful, patterned
罷;まか.り-, や.める, ヒ;quit, stop, leave, withdraw, go
矯;た.める, キョウ;rectify, straighten, correct, reform, cure, control, pretend, falsify
某;それがし, なにがし, ボウ;so-and-so, one, a certain, that person
囚;とら.われる, シュウ;captured, criminal, arrest, catch
魁;さきがけ, かしら, カイ;charging ahead of others
虹;にじ, コウ;rainbow
鴻;おおとり, ひしくい, おおがり, コウ, ゴウ;large bird, wild goose, large, great, powerful, prosperous
泌;ヒツ, ヒ;ooze, flow, soak in, penetrate, secrete
於;おい.て, お.ける, ああ, より, オ, ヨ;at, in, on, as for
赳;キュウ;strong and brave
漸;やや, ゼン;steadily, gradually advancing, finally, barely
蚊;か, ブン;mosquito
葵;あおい, キ;hollyhock
厄;ヤク;unlucky, misfortune, bad luck, disaster
藻;も, ソウ;seaweed, duckweed
禄;さいわ.い, ふち, ロク;fief, allowance, pension, grant, happiness
孟;かしら, モウ, ボウ, ミョウ;chief, beginning
嫡;チャク, テキ;legitimate wife, direct descent (non-bastard)
尭;たか.い, ギョウ;high, far
嚇;おど.かす, カク;menacing, dignity, majesty, threaten
巳;み, シ;sign of the snake or serpent, 9-11AM, sixth sign of Chinese zodiac
凸;でこ, トツ;convex, beetle brow, uneven
暢;のび.る, チョウ;stretch
韻;イン;rhyme, elegance, tone
霜;しも, ソウ;frost
硝;ショウ;nitrate, saltpeter
勅;いまし.める, みことのり, チョク;imperial order
芹;せり, キン;parsley
杏;あんず, キョウ, アン, コウ;apricot
棺;カン;coffin, casket
儒;ジュ;Confucian
鳳;ホウ, フウ;male mythical bird
馨;かお.る, かおり, ケイ, キョウ;fragrant, balmy, favourable
慧;さとい, ケイ, エ;wise
愁;うれ.える, うれ.い, シュウ;distress, grieve, lament, be anxious
楼;たかどの, ロウ;watchtower, lookout, high building
彬;うるわ.しい, あき.らか, ヒン, フン;refined, gentle
匡;すく.う, キョウ, オウ;correct, save, assist
眉;まゆ, ビ, ミ;eyebrow
欽;つつし.む, キン, コン;respect, revere, long for
薪;たきぎ, まき, シン;fuel, firewood, kindling
褐;カツ;brown, woollen kimono
賜;たまわ.る, たま.う, たも.う, シ;grant, gift, boon, results
嵯;サ, シ;steep, craggy, rugged
綜;おさ.める, す.べる, ソウ;rule
繕;つくろ.う, ゼン;darning, repair, mend, trim, tidy up, adjust
栓;セン;plug, bolt, cork, bung, stopper
翠;かわせみ, みどり, スイ;green
鮎;あゆ, なまず, デン, ネン;freshwater trout, smelt
榛;はしばみ, はり, シン, ハン;hazelnut, filbert
凹;くぼ.む, へこ.む, ぼこ, オウ;concave, hollow, sunken
艶;つや, なま.めかしい, あで.やか, つや.めく, なま.めく, エン;glossy, luster, glaze, polish, charm, colorful, captivating
惣;いそが.しい, そうじて, ソウ;all
蔦;つた, チョウ;vine, ivy
錬;ね.る, レン;tempering, refine, drill, train, polish
隼;はやぶさ, シュン, ジュン;falcon
渚;なぎさ, ショ;strand, beach, shore
衷;チュウ;inmost, heart, mind, inside
逐;チク;pursue, drive away, chase, accomplish, attain, commit
斥;しりぞ.ける, セキ;reject, retreat, recede, withdraw, repel, repulse
稀;まれ, まばら, キ, ケ;rare, phenomenal, dilute (acid)
芙;フ;lotus, Mt Fuji
詔;みことのり, ショウ;imperial edict
皐;さつき, コウ;swamp, shore
雛;ひな, ひよこ, スウ, ス, ジュ;chick, squab, duckling, doll
惟;おも.んみる, これ, おも.うに, イ, ユイ;consider, reflect, think
佑;たす.ける, ユウ, ウ;help, assist
耀;かがや.く, ひかり, ヨウ;shine, sparkle, gleam, twinkle
黛;まゆずみ, タイ;blackened eyebrows
渥;あつ.い, うるお.う, アク;kindness
憧;あこが.れる, ショウ, トウ, ドウ;yearn after, long for, aspire to, admire, adore
宵;よい, ショウ;wee hours, evening, early night
妄;みだ.りに, モウ, ボウ;delusion, unnecessarily, without authority, reckless
惇;あつ.い, シュン, ジュン, トン;sincere, kind, considerate
脩;おさ.める, なが.い, ほじし, シュウ;dried meat
甫;はじ.めて, ホ, フ;for the first time, not until
酌;く.む, シャク;bar-tending, serving sake, the host, draw (water), ladle, scoop, pump
蚕;かいこ, こ, サン, テン;silkworm
蒼;あお.い, ソウ;blue, pale
暉;かが.やく, キ;shine, light
頒;わか.つ, ハン;distribute, disseminate, partition, understand
只;ただ, シ;only, free, in addition
肢;シ;"limb, arms &amp; legs"
檀;まゆみ, ダン, タン;cedar, sandlewood, spindle tree
凱;かちどき, やわらぐ, ガイ, カイ;victory song
